House,hse_type,region,DHW filename,DHW multiplier,Dryer filename,Dryer multiplier,Stove-Other filename,Stove-Other multiplier
A11000sf_FREDERICTON,1-SD,1-AT,big-example,1,,1,,
A11000sf_HALIFAX,1-SD,1-AT,big-example,1,,1,,
