CWEC,Clm
CAN_ON_WINDSOR-A_6139527_CWEC.epw,can_windsor.cwec
CAN_MB_WINNIPEG-INTL-A_5023227_CWEC.epw,can_winnipeg.cwec
CAN_NT_YELLOWKNIFE-A_2204100_CWEC.epw,can_yellowknife.cwec
CAN_BC_ABBOTSFORD-A_1100031_CWEC.epw,can_abbotsford.cwec
CAN_AB_CALGARY-INTL-A_3031092_CWEC.epw,can_calgary.cwec
CAN_PE_CHARLOTTETOWN-A_8300301_CWEC.epw,can_charlottetown.cwec
CAN_MB_CHURCHILL-A_5060600_CWEC.epw,can_churchill.cwec
CAN_AB_EDMONTON-CITY-CENTRE-AWOS_3012202_CWEC.epw,can_edmonton.cwec
CAN_SK_ESTEVAN-A_4012400_CWEC.epw,can_estevan.cwec
CAN_AB_FORT-MCMURRAY-A_3062697_CWEC.epw,can_fort_mcmurray.cwec
CAN_BC_FORT-ST-JOHN-A_1183001_CWEC.epw,can_fort_st_john.cwec
CAN_NB_FREDERICTON_8101505_CWEC.epw,can_fredericton.cwec
CAN_NL_GOOSE-A_8501900_CWEC.epw,can_goosebay.cwec
CAN_NS_HALIFAX-INTL-A_8202251_CWEC.epw,can_halifax.cwec
CAN_NT_INUVIK-A_2202570_CWEC.epw,can_inuvik.cwec
CAN_BC_KAMLOOPS-A_1163781_CWEC.epw,can_kamloops.cwec
CAN_MB_THE-PAS-A_5052881_CWEC.epw,can_le_pas.cwec
CAN_ON_LONDON-A_6144473_CWEC.epw,can_london.cwec
CAN_AB_MEDICINE-HAT-RCS_3034485_CWEC.epw,can_medicine_hat.cwec
CAN_QC_MONTREAL-INTL-A_7025251_CWEC.epw,can_montreal.cwec
CAN_ON_MUSKOKA_6115529_CWEC.epw,can_muskoka.cwec
CAN_SK_NORTH-BATTLEFORD_4045695_CWEC.epw,can_north_battleford.cwec
CAN_ON_NORTH-BAY-A_6085680_CWEC.epw,can_north_bay.cwec
CAN_ON_OTTAWA-INTL-A_6106001_CWEC.epw,can_ottawa.cwec
CAN_BC_PORT-HARDY-A_1026271_CWEC.epw,can_port_hardy.cwec
CAN_BC_PRINCE-GEORGE_1096439_CWEC.epw,can_prince_george.cwec
CAN_BC_PRINCE-RUPERT_1066482_CWEC.epw,can_prince_rupert.cwec
CAN_QC_QUEBEC-INTL-A_7016293_CWEC.epw,can_quebec.cwec
CAN_SK_REGINA-INTL-A_4016566_CWEC.epw,can_regina.cwec
CAN_NU_RESOLUTE-CARS_2403500_CWEC.epw,can_resolute.cwec
CAN_NB_SAINT-JOHN-A_8104901_CWEC.epw,can_saintjohn.cwec
CAN_ON_SAULT-STE-MARIE-A_6057591_CWEC.epw,can_sault_ste_marie.cwec
CAN_QC_SCHEFFERVILLE-A_7117823_CWEC.epw,can_schefferville.cwec
CAN_NL_STEPHENVILLE-A_8403801_CWEC.epw,can_stephenville.cwec
CAN_NL_ST.-JOHN'S-INTL-A_8403505_CWEC.epw,can_stjohns.cwec
CAN_BC_SUMMERLAND-CS_112G8L1_CWEC.epw,can_summerland.cwec
CAN_SK_SWIFT-CURRENT-CDA_4028060_CWEC.epw,can_swift_current.cwec
CAN_NS_SYDNEY-A_8205701_CWEC.epw,can_sydney.cwec
CAN_ON_THUNDER-BAY-A_6048262_CWEC.epw,can_thunderbay.cwec
CAN_ON_TORONTO-CITY-CENTRE_6158359_CWEC.epw,can_toronto.cwec
CAN_ON_TRENTON-A_6158875_CWEC.epw,can_trenton.cwec
CAN_BC_VANCOUVER-INTL-A_1108395_CWEC.epw,can_vancouver.cwec
CAN_BC_VICTORIA-INTL-A_1018621_CWEC.epw,can_victoria.cwec
CAN_YT_WHITEHORSE-A_2101300_CWEC.epw,can_whitehorse.cwec
